Column2,Column1,room_info_list,prices_list,stars_list,number_of_reviews_list,url
82,82,2 guests · 1 bed · 1 bath,$141 ,4.91 ·,45 reviews,https://www.airbnb.com/rooms/695187672368877504?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
83,83,4 guests · 2 bedrooms · 3 beds · 1 bath,$140 ,4.97 ·,342 reviews,https://www.airbnb.com/rooms/1720106?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
84,84,8 guests · 3 bedrooms · 5 beds · 2 baths,$150 ,5.0 ·,9 reviews,https://www.airbnb.com/rooms/815255114155346454?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
85,85,2 guests · 1 bedroom · 1 bed · 1 bath,$369 ,4.96 ·,94 reviews,https://www.airbnb.com/rooms/689034491215725661?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
86,86,6 guests · 3 bedrooms · 3 beds · 2 baths,$113 ,,,https://www.airbnb.com/rooms/862921299290194334?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
87,87,6 guests · 3 bedrooms · 4 beds · 2 baths,$120 ,4.99 ·,214 reviews,https://www.airbnb.com/rooms/25403964?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-24&check_out=2023-05-29&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
88,88,4 guests · 2 bedrooms · 2 beds · 1 bath,$139 ,5.0 ·,57 reviews,https://www.airbnb.com/rooms/608368357011689132?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
89,89,4 guests · 1 bedroom · 2 beds · 1 bath,$127 ,5.0 ·,39 reviews,https://www.airbnb.com/rooms/609192689953013271?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-29&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
90,90,3 guests · 1 bedroom · 2 beds · 1 bath,$56 ,4.50 ·,18 reviews,https://www.airbnb.com/rooms/797025689041792901?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
91,91,6 guests · Half-bath,$46 ,4.92 ·,232 reviews,https://www.airbnb.com/rooms/50216525?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
92,92,6 guests · 3 bedrooms · 3 beds · 2 baths,$113 ,,,https://www.airbnb.com/rooms/862921299290194334?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
93,93,3 guests · 1 bedroom · 2 beds · 1 bath,$78 ,4.96 ·,394 reviews,https://www.airbnb.com/rooms/27368321?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
94,94,6 guests · 3 bedrooms · 4 beds · 2 baths,$120 ,4.99 ·,214 reviews,https://www.airbnb.com/rooms/25403964?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-24&check_out=2023-05-29&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
95,95,4 guests · 2 bedrooms · 2 beds · 1 bath,$139 ,5.0 ·,57 reviews,https://www.airbnb.com/rooms/608368357011689132?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
96,96,4 guests · 2 bedrooms · 3 beds · 1 bath,$130 ,4.94 ·,164 reviews,https://www.airbnb.com/rooms/39157214?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
97,97,,$225 ,4.99 ·,292 reviews,https://www.airbnb.com/rooms/6883053?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
98,98,2 guests · 1 bedroom · 1 bed · 1 bath,$283 ,5.0 ·,35 reviews,https://www.airbnb.com/rooms/53179148?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
99,99,,$92 ,4.86 ·,407 reviews,https://www.airbnb.com/rooms/24935703?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
100,100,2 guests · 1 bedroom · 1 bed · 1 bath,$150 ,4.99 ·,94 reviews,https://www.airbnb.com/rooms/619482691910805591?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-29&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
101,101,4 guests · 1 bedroom · 3 beds · Half-bath,$101 ,4.78 ·,93 reviews,https://www.airbnb.com/rooms/51575137?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
102,102,,$79 ,4.96 ·,54 reviews,https://www.airbnb.com/rooms/679578189362100075?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
103,103,8 guests · 2 bedrooms · 6 beds · 2 baths,$120 ,4.81 ·,42 reviews,https://www.airbnb.com/rooms/560941466317994875?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
104,104,,$159 ,4.92 ·,85 reviews,https://www.airbnb.com/rooms/46172349?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
105,105,6 guests · 3 bedrooms · 4 beds · 2 baths,$175 ,4.90 ·,40 reviews,https://www.airbnb.com/rooms/667240839529992300?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
106,106,2 guests · 1 bedroom · 1 bed · 1 bath,$290 ,4.93 ·,71 reviews,https://www.airbnb.com/rooms/694758889616191353?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
107,107,,$172 ,4.87 ·,235 reviews,https://www.airbnb.com/rooms/16109220?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=576c297e-c3c9-4c19-b57c-dbb3b5e1f290
108,108,4 guests · 2 bedrooms · 3 beds · 1 bath,$130 ,4.94 ·,164 reviews,https://www.airbnb.com/rooms/39157214?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
109,109,,$82 ,4.94 ·,47 reviews,https://www.airbnb.com/rooms/631681673118706841?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-21&check_out=2023-05-26&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
110,110,2 guests · 1 bedroom · 1 bed · 1 bath,$139 ,4.76 ·,94 reviews,https://www.airbnb.com/rooms/47002350?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
111,111,6 guests · 2 bedrooms · 4 beds · 1 bath,$225 ,4.99 ·,292 reviews,https://www.airbnb.com/rooms/6883053?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
112,112,,$283 ,5.0 ·,35 reviews,https://www.airbnb.com/rooms/53179148?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
113,113,4 guests · 1 bedroom · 2 beds · 1 bath,$92 ,4.86 ·,407 reviews,https://www.airbnb.com/rooms/24935703?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
114,114,2 guests · 1 bedroom · 1 bed · 1 bath,$150 ,4.99 ·,94 reviews,https://www.airbnb.com/rooms/619482691910805591?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-29&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
115,115,2 guests · 1 bedroom · 1 bed · 1 bath,$79 ,4.96 ·,54 reviews,https://www.airbnb.com/rooms/679578189362100075?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
116,116,6 guests · 1 bedroom · 6 beds · 1.5 baths,$159 ,4.92 ·,85 reviews,https://www.airbnb.com/rooms/46172349?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
117,117,6 guests · 3 bedrooms · 4 beds · 2 baths,$175 ,4.90 ·,40 reviews,https://www.airbnb.com/rooms/667240839529992300?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
118,118,,$290 ,4.93 ·,71 reviews,https://www.airbnb.com/rooms/694758889616191353?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
119,119,4 guests · 2 bedrooms · 2 beds · 1 bath,$172 ,4.87 ·,235 reviews,https://www.airbnb.com/rooms/16109220?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
120,120,,$52 ,4.62 ·,13 reviews,https://www.airbnb.com/rooms/805612995306170688?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-29&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
121,121,2 guests · 1 bedroom · 1 bed · 1 bath,$100 ,4.88 ·,458 reviews,https://www.airbnb.com/rooms/34543675?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
122,122,4 guests · 2 bedrooms · 3 beds · 1 bath,$119 ,4.92 ·,51 reviews,https://www.airbnb.com/rooms/53931212?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
123,123,2 guests · Studio · 1 bed · 1 bath,$110 ,4.90 ·,969 reviews,https://www.airbnb.com/rooms/7581778?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
124,124,,$165 ,4.83 ·,40 reviews,https://www.airbnb.com/rooms/50418419?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
125,125,,$89 ,,,https://www.airbnb.com/rooms/854359142323889683?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=1466ee84-2335-4fdf-9cb3-ffc6ae721a79
126,126,,$121 ,4.97 ·,221 reviews,https://www.airbnb.com/rooms/28911974?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
127,127,6 guests · 2 bedrooms · 10 beds · 1.5 baths,$145 ,4.86 ·,131 reviews,https://www.airbnb.com/rooms/20307748?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-21&check_out=2023-05-26&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
128,128,2 guests · 1 bedroom · 1 bed · 1 bath,$55 ,4.95 ·,150 reviews,https://www.airbnb.com/rooms/12341145?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-12&check_out=2023-04-18&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
129,129,4 guests · 2 bedrooms · 3 beds · 1 bath,$90 ,5.0 ·,89 reviews,https://www.airbnb.com/rooms/50559110?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
130,130,4 guests · 1 bedroom · 1 bed · 1 bath,$80 ,4.95 ·,21 reviews,https://www.airbnb.com/rooms/697870013689574520?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
131,131,9 guests · 2 bedrooms · 4 beds · 1 bath,$283 ,4.93 ·,169 reviews,https://www.airbnb.com/rooms/51059349?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
132,132,4 guests · 2 bedrooms · 2 beds · 2 baths,$97 ,5.0 ·,41 reviews,https://www.airbnb.com/rooms/637548790918714773?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-22&check_out=2023-04-27&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
133,133,2 guests · 1 bedroom · 3 beds · 1 bath,$72 ,4.97 ·,150 reviews,https://www.airbnb.com/rooms/27984929?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
134,134,7 guests · 1 bedroom · 7 beds · 1 bath,$162 ,4.99 ·,74 reviews,https://www.airbnb.com/rooms/53038445?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
135,135,2 guests · 1 bedroom · 1 bed · 1 bath,$85 ,4.89 ·,55 reviews,https://www.airbnb.com/rooms/732422789383069185?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
136,136,4 guests · 1 bedroom · 3 beds · 1 bath,$99 ,4.93 ·,138 reviews,https://www.airbnb.com/rooms/41403265?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
137,137,3 guests · 2 beds · 1 bath,$201 ,5.0 ·,52 reviews,https://www.airbnb.com/rooms/741154544629017207?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
138,138,6 guests · 1 bedroom · 4 beds · 1 bath,$89 ,4.84 ·,94 reviews,https://www.airbnb.com/rooms/44999527?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
139,139,,$115 ,4.90 ·,71 reviews,https://www.airbnb.com/rooms/52472173?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
140,140,2 guests · 1 bedroom · 1 bed · 1 bath,$82 ,4.86 ·,70 reviews,https://www.airbnb.com/rooms/45069497?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
141,141,4 guests · 1 bedroom · 2 beds · 1.5 baths,$76 ,,,https://www.airbnb.com/rooms/863614573036254011?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
142,142,6 guests · 2 bedrooms · 3 beds · 1 bath,$228 ,4.92 ·,309 reviews,https://www.airbnb.com/rooms/22289082?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-29&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
143,143,8 guests · 3 bedrooms · 6 beds · 2 baths,$139 ,4.89 ·,38 reviews,https://www.airbnb.com/rooms/542062391187871077?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=4a1feba8-169f-4d78-bcc6-e8bf2647ccf4
144,144,2 guests · 1 bedroom · 1 bed · 1 bath,$108 ,5.0 ·,25 reviews,https://www.airbnb.com/rooms/696924499157691022?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-30&check_out=2023-06-04&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
145,145,4 guests · 3 bedrooms · 4 beds · 1 bath,$121 ,4.97 ·,221 reviews,https://www.airbnb.com/rooms/28911974?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
146,146,6 guests · 2 bedrooms · 10 beds · 1.5 baths,$145 ,4.86 ·,131 reviews,https://www.airbnb.com/rooms/20307748?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-21&check_out=2023-05-26&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
147,147,2 guests · 1 bedroom · 1 bed · 1 bath,$55 ,4.95 ·,150 reviews,https://www.airbnb.com/rooms/12341145?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-12&check_out=2023-04-18&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
148,148,,$90 ,5.0 ·,89 reviews,https://www.airbnb.com/rooms/50559110?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
149,149,9 guests · 2 bedrooms · 4 beds · 1 bath,$283 ,4.93 ·,169 reviews,https://www.airbnb.com/rooms/51059349?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
150,150,4 guests · 2 bedrooms · 2 beds · 2 baths,$97 ,5.0 ·,41 reviews,https://www.airbnb.com/rooms/637548790918714773?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-22&check_out=2023-04-27&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
151,151,,$137 ,5.0 ·,16 reviews,https://www.airbnb.com/rooms/746974742254965773?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-22&check_out=2023-04-27&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
152,152,2 guests · 1 bedroom · 3 beds · 1 bath,$72 ,4.97 ·,150 reviews,https://www.airbnb.com/rooms/27984929?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
153,153,,,,,https://www.airbnb.com/rooms/53038445?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
154,154,,,,,https://www.airbnb.com/rooms/53104262?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-14&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
155,155,4 guests · 1 bedroom · 3 beds · 1.5 baths,$104 ,4.97 ·,118 reviews,https://www.airbnb.com/rooms/46878530?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
156,156,2 guests · 1 bedroom · 1 bed · 1 bath,$85 ,4.89 ·,55 reviews,https://www.airbnb.com/rooms/732422789383069185?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
157,157,,$99 ,4.93 ·,138 reviews,https://www.airbnb.com/rooms/41403265?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
158,158,,$201 ,5.0 ·,52 reviews,https://www.airbnb.com/rooms/741154544629017207?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
159,159,6 guests · 1 bedroom · 3 beds · 1 bath,$165 ,4.88 ·,224 reviews,https://www.airbnb.com/rooms/42274984?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
160,160,,$89 ,4.84 ·,94 reviews,https://www.airbnb.com/rooms/44999527?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
161,161,4 guests · 2 bedrooms · 2 beds · 1 bath,$115 ,4.90 ·,71 reviews,https://www.airbnb.com/rooms/52472173?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=78d5c614-0286-4d0b-a723-0fc8228ca414
162,162,3 guests · 2 bedrooms · 2 beds · 1 bath,$204 ,4.99 ·,141 reviews,https://www.airbnb.com/rooms/20261209?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-25&check_out=2023-04-30&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
163,163,5 guests · 2 bedrooms · 4 beds · 1 bath,$189 ,5.0 ·,13 reviews,https://www.airbnb.com/rooms/746247747183779381?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
164,164,4 guests · 1 bedroom · 2 beds · 1 bath,$60 ,4.85 ·,102 reviews,https://www.airbnb.com/rooms/48929403?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
165,165,2 guests · 1 bedroom · 1 bed · 1 bath,$65 ,4.98 ·,63 reviews,https://www.airbnb.com/rooms/29858536?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
166,166,,$102 ,4.80 ·,54 reviews,https://www.airbnb.com/rooms/50558394?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
167,167,2 guests · 1 bedroom · 1 bed · 1 bath,$90 ,4.99 ·,67 reviews,https://www.airbnb.com/rooms/52931702?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
168,168,,$89 ,4.99 ·,121 reviews,https://www.airbnb.com/rooms/49287288?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=86bb041f-4190-4065-8490-11c983b79a57
