Column2,Column1,room_info_list,prices_list,stars_list,number_of_reviews_list,url
18,18,2 guests · 1 bedroom · 1 bed · 1 bath,$125 ,4.99 ·,108 reviews,https://www.airbnb.com/rooms/52172821?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
19,19,4 guests · 1 bedroom · 2 beds · 1 bath,$115 ,4.91 ·,619 reviews,https://www.airbnb.com/rooms/4022760?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
20,20,4 guests · 1 bedroom · 2 beds · 1 bath,$133 ,4.92 ·,37 reviews,https://www.airbnb.com/rooms/698493959470523238?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
21,21,4 guests · 1 bedroom · 2 beds · 1 bath,$160 ,4.89 ·,258 reviews,https://www.airbnb.com/rooms/45596498?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
22,22,2 guests · 1 bedroom · 1 bed · 1 bath,$89 ,4.98 ·,344 reviews,https://www.airbnb.com/rooms/33015710?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
23,23,5 guests · 2 bedrooms · 4 beds · 2 baths,$205 ,5.0 ·,3 reviews,https://www.airbnb.com/rooms/632421488855456294?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
24,24,4 guests · 2 beds · 1 bath,$89 ,5.0 ·,78 reviews,https://www.airbnb.com/rooms/52298169?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
25,25,2 guests · 1 bedroom · 1 bed · 1 bath,$75 ,4.93 ·,318 reviews,https://www.airbnb.com/rooms/44075765?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-29&check_out=2023-05-04&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
26,26,8 guests · 2 bedrooms · 3 beds · 1 bath,$143 ,5.0 ·,3 reviews,https://www.airbnb.com/rooms/862497660379713294?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
27,27,4 guests · 2 bedrooms · 2 beds · Half-bath,$86 ,5.0 ·,32 reviews,https://www.airbnb.com/rooms/647965814255817368?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-12&check_out=2023-04-17&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
28,28,4 guests · 2 bedrooms · 3 beds · 1 bath,$70 ,4.96 ·,272 reviews,https://www.airbnb.com/rooms/46711194?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-25&check_out=2023-06-30&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
29,29,2 guests · 1 bedroom · 1 bath,$125 ,4.93 ·,104 reviews,https://www.airbnb.com/rooms/53373286?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
30,30,3 guests · 1 bedroom · 1 bed · 1 bath,$131 ,4.83 ·,534 reviews,https://www.airbnb.com/rooms/12148992?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
31,31,4 guests · 1 bedroom · 1 bed · 1 bath,$89 ,4.82 ·,552 reviews,https://www.airbnb.com/rooms/9679245?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
32,32,2 guests · 1 bedroom · 1 bed · 1 bath,$85 ,4.32 ·,37 reviews,https://www.airbnb.com/rooms/622356910382912721?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
33,33,4 guests · 1 bedroom · 2 beds · 1 bath,$126 ,4.96 ·,134 reviews,https://www.airbnb.com/rooms/48308798?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
34,34,6 guests · 3 bedrooms · 3 beds · 2 baths,$99 ,,,https://www.airbnb.com/rooms/853419908928140944?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
35,35,4 guests · Studio · 3 beds · 1 bath,$75 ,4.90 ·,"1,211 reviews",https://www.airbnb.com/rooms/7825352?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-22&check_out=2023-04-27&previous_page_section_name=1000&federated_search_id=16ad677f-2d93-425e-a233-b5dc859ce163
36,36,3 guests · 1 bedroom · 2 beds · 1 bath,$130 ,5.0 ·,22 reviews,https://www.airbnb.com/rooms/639214411022161241?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
37,37,3 guests · 1 bedroom · 4 beds · 1.5 baths,$76 ,4.64 ·,11 reviews,https://www.airbnb.com/rooms/49169662?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d2da0bad-2ff0-4330-996c-2254e4330ac6
